Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.swc,4857,452.389,0,180,0,236,253.156,234.166,80,2.25501,4613.39,32657.2,24326,179.598,0,0,nan,nan,nan,0,0,1.10577
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.swc,818,804.248,7,13,31,19,144.356,97.52,54,2.93103,801.804,7309.44,10023.8,87.4812,112.718,5,0.958707,25.3548,0.99187,76.947,50.9192,1.08019
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.swc,1264,452.389,7,31,68,38,184.325,122.36,56,2.3341,1230.12,8966.4,7062.6,108.436,112.886,12,0.982254,17.5735,0.995724,77.1851,69.4071,1.12834
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.swc,1353,1017.88,8,20,47,28,164.9,164.68,70,2.83795,1325.04,11704.5,16369.5,119.401,123.798,6,0.980386,27.766,0.994319,74.2747,65.8123,1.06743
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.swc,1050,615.752,9,18,43,26,125.12,178.615,82,2.81249,1026.97,8939.44,10504.8,121.532,135.787,6,0.974545,23.3953,0.995125,72.0531,69.9159,1.07664
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.swc,4085,314.159,0,106,0,156,242.616,204.018,86,2.34712,3939.54,28946.1,21982.2,135.715,0,0,nan,nan,nan,0,0,1.03464
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.swc,4883,50.2655,0,133,0,167,332.678,395.17,96,2.01767,4706.72,29838,15138.3,241.95,0,0,nan,nan,nan,0,0,1.03624
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.swc,870,804.248,7,14,33,20,112.499,118.68,84,2.95479,851.629,7751.62,10512.8,86.996,91.9122,5,0.990131,25.3333,0.995939,65.721,68.1609,1.06182
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.swc,1509,452.389,9,14,36,23,198.359,180.222,134,2.49099,1487.92,11523.1,10059.5,111.728,128.098,4,0.970284,40.8889,0.993595,67.2739,62.0949,1.09215
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.swc,951,1017.88,6,16,37,22,132.914,103.04,90,3.00861,929.663,8693.41,13483,74.6861,96.7331,7,0.974597,24.6757,0.995595,80.5069,75.3952,1.07632
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.swc,815,314.159,7,14,33,20,107.64,100.28,90,2.49078,800.144,6232.28,5406.96,80.5698,89.275,5,0.984277,23.6667,0.989991,69.9099,67.9359,1.03166
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.swc,1874,615.752,9,33,73,41,149.96,165.6,146,2.45019,1833.08,13967.5,13182.4,136.786,140.148,11,0.981607,24.6575,0.997273,69.6743,66.3065,1.05781
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.swc,1995,452.389,7,36,77,42,196.16,193.708,110,2.2918,1953.48,14024.6,10700.7,133.295,150.487,6,0.982664,24.8961,0.997837,69.1763,65.0591,1.06184
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.swc,2601,314.159,9,31,69,39,281.214,278.678,110,2.28861,2566.28,18372.3,13370.5,156.969,172.481,6,0.988652,36.6812,0.997078,65.7691,61.824,1.07444
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.swc,1464,201.062,8,22,50,29,195.229,180.222,92,2.25955,1440.47,10187.9,6858.11,117.705,124.785,6,0.980764,28.26,0.994231,66.6495,66.8869,1.03834
07897_P041_T01_(4)_S006_-_TL.R_R0919_WYT_20230731_WYT.swc,2374,314.159,9,23,53,31,286.728,304.408,138,2.35699,2343.36,17274.9,13672.9,199.666,221.375,7,0.982076,43.7736,0.997271,71.1182,64.3413,1.06055
08750_P054_T01_-_S008_1dAFTsur_FP.R_R0919_RJ_20230921_YW.swc,3955,201.062,7,45,95,51,271.649,306.946,162,2.10583,3901.57,25766.1,14724.1,196.638,218.946,10,0.988538,40.6211,0.998359,65.3442,59.6327,1.08223
08872_P053_T01_(1)_S027_-_TL.R_R0919_OMZ_20230915_YW.swc,6944,452.389,10,56,120,65,378.628,374.952,228,2.16593,6878.23,46665.2,30557,234.646,257.335,9,0.986456,56.8583,0.99858,71.6938,62.1127,1.09479
08983_P050_T01_-_S015_-_FL.R_R0613_WYT_20230821_OMZ.swc,2467,201.062,7,33,72,40,248.878,255.008,80,2.12997,2428.01,16201.9,9558.26,177.906,196.868,9,0.977878,33.25,0.997423,74.216,60.7784,1.11348
09212_P053_T01_(1)_S034_-_TL.R_R0613_OMZ_20230915_YW.swc,1416,452.389,8,23,52,30,192.751,223.386,102,2.53919,1386.44,10937.8,10208,187.035,190.93,7,0.987355,26.2115,0.99794,67.3427,63.0307,1.09643
09224_P053_T01_(1)_S034_-_TL.R_R0919_OMZ_20230915_YW.swc,3193,314.159,8,30,67,38,268.348,372.923,158,2.26025,3156.88,22374.8,15841.2,232.046,253.596,9,0.981174,46.6418,0.996981,65.7753,55.3852,1.06533
09400_P051_T01_-_S028_-_TL.R_R0613_RJ_20230814_YW.swc,2217,452.389,8,33,72,40,229.262,265.858,140,2.32522,2179.16,15870.4,12786.1,175.812,208.737,9,0.987302,29.7778,0.995025,72.7305,68.2789,1.0857
09494_P053_T01_(1)_S002_-_TL.R_R0460_OMZ_20230915_OMZ.swc,895,804.248,7,14,34,21,156.866,166.52,71.3017,2.98764,878.157,8140.9,11295.8,131.183,159.091,4,0.95689,25.2941,0.994217,65.5284,62.0044,1.07602
09550_P053_T01_(1)_S018_-_TL.R_R0919_OMZ_20230915_YW.swc,4148,615.752,12,45,101,58,417.226,444.796,110,2.4314,4091.1,31131.3,29241,292.845,301.397,11,0.970814,40.0495,0.997778,73.3962,72.7852,1.10053
09912_P057_T01_(1)_S006_-_TL.L_R0613_OMZ_20231019_RJ.swc,3630,201.062,6,27,58,32,444.952,391.089,126,2.08916,3596.94,23544.8,13179.5,272.52,303.924,10,0.965527,61.569,0.998932,67.044,60.8267,1.02708
09988_P048_T01_(3)_S010_-_TL.R_R0919_WYT_20230818_WYT.swc,4647,452.389,8,48,102,55,437.664,338.192,174,2.22584,4594.05,32001.5,23046.7,232.878,250.754,11,0.982573,44.549,0.998765,70.797,56.6547,1.06593
10218_P041_T01_(2)_S011_-_TL.R_R0919_OMZ_20230727_WYT.swc,2175,452.389,10,25,58,34,312.46,292.242,112,2.81469,2145.72,18943,22392.4,224.854,236.851,14,0.982894,36.4828,0.99726,70.2039,69.8687,1.07134
10237_P057_T01_(1)_S011_-_TL.L_R0919_OMZ_20231019_WYT.swc,1507,201.062,6,16,36,21,279.586,178.286,104,2.29055,1487.39,10656.3,7518.76,246.754,293.315,7,0.972198,40.8333,0.998222,78.0933,67.768,1.07329
10350_P057_T01_(1)_S002_-_TL.L_R0613_OMZ_20231019_RJ.swc,2399,804.248,9,9,25,17,253.035,504.068,112,2.53779,2382.69,18848.8,20580.7,306.325,318.602,6,0.962501,94.92,0.990229,76.849,66.1775,1.07509
10790_P040_T01_-_S005_1dAFTsur_MTG.L_R0919_OMZ_20230712_YW.swc,4655,50.2655,6,29,63,35,465.036,568.076,84,2.03776,4623.29,29584.3,15316.3,386.659,447.147,13,0.964809,72.873,1.00002,64.9118,58.3631,1.11027
12507_P061_T01_(1)_S022_-_MFG.R_R0919_OMZ_20240115_WYT.swc,2169,201.062,6,28,60,33,259.158,312.46,190,2.18273,2137.58,14632,9224.07,174.579,188.204,9,0.986437,35.1333,0.998193,72.7471,64.5618,1.07358
12514_P061_T01_(1)_S029_-_MFG.R_R0613_OMZ_20240115_WYT.swc,4034,615.752,6,30,65,36,515.432,401.151,138,2.16851,3996.35,27096.2,18440.5,338.542,363.843,11,0.975718,61.0462,0.998627,65.9134,53.0176,1.11934
12555_P061_T01_(1)_S013_-_MFG.R_R0919_OMZ_20240115_YW.swc,1494,50.2655,8,19,44,26,231.588,255.482,68,2.17593,1470.11,10033,5953.48,161.26,243.811,5,0.980404,32.9318,1.00299,78.2739,78.799,1.09215
12606_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.swc,3223,314.159,8,48,102,55,330.84,268.348,98,2.23237,3166.43,22130.9,15110.1,188.993,216.54,9,0.986163,30.5882,0.998818,71.5928,64.5735,1.10886
12607_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.swc,3999,452.389,8,57,120,64,257.32,294.08,124,2.21712,3931.91,27307,19282.4,185.493,211.538,11,0.982097,32.3167,0.998164,71.8664,60.0695,1.09865
12648_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.swc,3380,201.062,9,47,102,56,248.13,255.482,122,2.1714,3326.58,22600.3,13966.9,171.054,184.4,8,0.988053,32.1275,0.999561,67.3872,58.9186,1.1029
12731_P057_T01_(2)_S038_-_TL.L_R0919_OMZ_20231020_WYT.swc,3929,314.159,9,40,87,48,338.192,417.226,102,2.22349,3885.46,27085.8,18690.2,229.194,295.776,7,0.98039,44.1494,0.997832,69.4458,59.4295,1.0884
12839_P061_T01_(1)_S023_-_MFG.R_R0919_OMZ_20240115_OMZ.swc,4737,113.097,6,50,104,55,422.74,424.578,136,2.10856,4681.13,30984.1,18315,295.681,337.614,10,0.979328,44.5385,1.00134,76.9205,70.6419,1.08925
12987_P061_T01_(1)_S031_-_MFG.R_R0613_OMZ_20240115_WYT.swc,4582,452.389,7,32,71,40,356.838,412.812,174,2.13046,4541.15,30286.6,18829.2,243.089,274.137,7,0.971668,63.5211,0.997357,72.9829,55.8027,1.08635
13262_P067_T01_(1)_S016_-_TL.L_R0613_OMZ_20240312_WYT.swc,2152,50.2655,9,9,25,17,495.811,446.23,108,2.21714,2137.41,14865.3,9317.65,311.87,359.914,4,0.892359,85.04,1.00437,65.4676,54.0623,1.08416
13417_P061_T01_(1)_S026_-_MFG.R_R0919_OMZ_20240115_OMZ.swc,2872,314.159,10,39,88,50,297.756,233.426,90,2.35874,2824.08,20798.1,15860.9,204.537,213.782,9,0.984564,31.625,0.998966,68.9381,59.664,1.14001
13622_P065_T01_(1)_S008_-_PL.L_OL.L_R0919_OMZ_20240229_YW.swc,5595,615.752,11,58,126,69,317.974,325.326,178,2.28377,5528.54,39476.5,31175.3,229.841,270.844,8,0.980181,43.3968,0.998692,67.6374,58.3784,1.10056
