Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
120111_05new_ch2_neuron1.tif_06_143.v3dpbd_app2new2.swc,3387,39408.1,6,17,38,22,203.234,509.227,53.5,4.20575,3353.09,42580.6,300450,342.11,412.02,7,0.864603,88.1053,1.02379,57.8226,70.7663,1.15768
120111_05new_ch2_neuron2.tif_06_143.v3dpbd_app2new2.swc,3387,39408.1,6,17,38,22,203.234,509.227,53.5,4.20575,3353.09,42580.6,300450,342.11,412.02,7,0.864603,88.1053,1.02379,57.8226,70.7663,1.15768
1201_01_s06b_L36_Sum_ch2.tif_08_140.v3dpbd_x924_y2460_z82_app2.swc,8601,42273.3,7,68,144,77,205.313,394.331,53.5,3.44281,8489.82,88712.8,417747,260.875,430.965,15,0.889318,58.7222,0.983281,63.6384,60.7996,1.22321
1201_01_s10mm_ch2.tif_01_142.v3dpbd_ENT_updated.swc,2624,1017.88,4,50,103,54,274.258,393.5,54,3.65189,2555.29,28908.9,42920.9,405.445,472.087,21,0.934782,24.466,0.966332,75.4716,49.5517,1.2318
18454_42977_stps.swc,205,615.752,5,22,47,26,18.25,14.256,9.349,4.83484,165.498,2328.24,3474.54,12.8545,22.8929,11,0.859624,3.34043,0.991242,54.0871,71.8425,1.41741
18454_43136_stps.swc,292,1256.64,5,31,66,36,10.886,17.214,14.927,4.84132,239.385,3432.28,5224.39,11.6911,15.9077,10,0.909524,3.40909,0.953519,48.1392,61.1785,1.3874
18454_43193_stps.swc,216,804.248,3,26,55,30,11.053,16.582,12.087,3.0305,177.213,1468.85,1292.69,12.3643,15.6908,13,0.951627,2.90909,0.821022,58.5214,63.2897,1.45286
18454_43202_stps.swc,237,3631.68,7,29,63,35,10.158,14.644,9.66299,5.01049,194.957,2709.81,3827.91,9.17961,14.0781,8,0.966589,2.74603,0.795251,44.9849,57.5659,nan
18454_43467_stps.swc,134,2123.72,5,18,39,22,9.44098,9.18701,10.24,4.33716,104.698,1153.23,1439.59,6.71838,7.60424,5,0.968096,2.41026,0.696741,57.469,47.1248,1.41504
18454_43684_stps.swc,215,804.248,3,17,35,19,24.431,16.172,11.839,3.60596,185.104,1949.57,2307.31,14.0736,22.7879,7,0.88444,5.11429,0.892412,59.4558,87.6948,1.307
18454_43720_stps.swc,177,804.248,4,20,42,23,10.691,17.1,8.78,3.25094,142.825,1132.38,1042.6,13.7883,16.2423,7,0.924051,3.19048,0.766857,57.3513,64.0726,1.46214
