Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
06871_P040_T01_-_S014_-_MTG_R0919_synthetic.ano.eswc,1283,1520.53,7,1,7,7,270.1,675.25,91,2.90749,1277.22,11521.6,18831.3,445.371,463.981,1,0.921605,182.143,0.966616,48.7229,103.102,1.05714
07095_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc,2618,1809.56,6,7,18,12,336.009,620.325,105,2.3331,2599.89,18794.8,19301.2,377.303,399.523,4,0.904712,144.389,0.993201,80.0948,80.7469,1.05933
07103_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc,127,1256.64,3,1,3,3,42.275,34.349,55,4.69744,124.001,1784.53,4298.76,37.8906,43.3358,1,0.887177,41,0.961457,112.958,139.233,0.972888
07105_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc,390,314.159,4,3,8,6,102.503,81.418,104,2.46636,382.726,2922.45,2380.45,135.463,146.415,3,0.929797,47.625,0.986979,45.9421,67.554,1.05772
07898_P041_T01_(4)_S006_-_TL.R_R0613_WYT_20230731_WYT_synthetic.ano.eswc,1711,3216.99,9,18,43,26,217.802,192.106,82,3.06785,1682.75,15977.3,36742.7,126.74,143.246,6,0.961454,38.7674,0.991225,66.2815,61.9709,1.05308
09567_P041_T01_-_S014_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc,2045,2827.43,7,12,29,18,276.908,278.975,235,2.63103,2023.25,16499.9,27182.7,219.835,262.843,6,0.950756,69.4828,0.990122,64.3311,58.3731,1.0439
10046_P041_T01_-_S008_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc,1457,3631.68,9,4,15,12,310.992,274.672,56,3.38091,1445.32,14935.4,40529.1,191.045,210.197,3,0.936668,96.0667,0.980548,44.0055,47.2307,1.02966
10419_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_synthetic.ano.eswc,2794,1256.64,7,17,42,26,435.09,368.318,117,2.2863,2763.5,19693.8,17735.1,289.79,353.384,7,0.950771,65.5,0.994198,70.1837,59.5775,1.14244
10422_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc,2214,1017.88,9,10,27,18,343.496,352.595,71,2.29538,2196.68,15672.8,13504.9,270.323,285.231,5,0.955406,80.963,0.979992,61.696,43.9372,1.05734
10425_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_01_synthetic.ano.eswc,4389,1256.64,8,26,58,33,495.184,386.196,172,2.24996,4349.33,30527.3,26152.5,272.629,285.127,7,0.957214,74.6552,0.996396,63.5956,49.013,1.05979
10433_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc,2735,1520.53,7,13,32,20,397.646,301.308,92.6849,2.24702,2711.82,19009.3,16744.7,267.119,328.428,4,0.936004,84.4375,0.987373,64.2887,56.307,1.04846
10435_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc,1903,1256.64,6,12,28,17,251.492,278.513,81,2.302,1880.7,13479.8,12344.5,180.656,192.774,6,0.949704,66.9286,0.989865,57.059,50.3641,1.09057
10438_P041_T01_-_S015_-_TL_R0613_synthetic.ano.eswc,4131,1256.64,5,26,56,31,541.355,399.25,76,2.1231,4098.19,27247.8,18682.2,309.334,327.107,8,0.962538,72.75,0.995633,65.483,62.9341,1.12255
10439_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc,3090,2123.72,9,22,51,30,453.603,226.843,109,2.42879,3055.81,23106.9,28533.4,232.379,322.287,7,0.952293,59.5686,0.992011,60.7527,59.9715,1.09993
10440_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc,1201,1809.56,7,3,11,9,358.644,140.339,27.7089,2.80002,1191.58,10235.3,16169.2,202.842,225.762,2,0.91067,108.091,0.980613,79.6858,85.512,1.06233
