Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.v3draw.eswc,2945,12.5664,7,38,81,44,305.019,255.008,86,2.06857,2888.65,18785.8,10548.4,202.471,235.289,10,0.965736,35.3457,1.01263,68.0284,56.8824,1.08335
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.eswc,1240,12.5664,11,14,37,24,191.36,107.64,77.308,463.996,1207.65,1.76E+06,2.58E+08,123.012,167.954,5,0.919016,32.4865,7.50233,94.3083,65.5785,1.08064
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.eswc,2209,12.5664,10,39,86,48,222.64,160.08,72,2.03624,2141.99,13713.5,7223.19,135.002,144.413,13,0.947479,24.6744,1.00947,74.6533,65.6264,1.09751
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,2327,12.5664,8,35,76,42,211.939,210.68,97,2.14889,2265.39,15319.1,9531.02,139.542,152.849,7,0.939349,29.6053,1.00184,71.1388,56.1912,1.11262
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,1411,12.5664,9,23,53,31,139.84,207,92,2.22492,1372.42,9619.62,6613.43,141.556,160.455,6,0.942955,25.6038,1.02495,67.7667,61.4038,1.13221
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.v3draw.eswc,2410,12.5664,7,24,53,30,290.345,256.401,94,2.11194,2371.34,15750.5,9217.18,189.151,197.741,5,0.971652,44.4528,1.00558,73.7424,65.1787,1.07194
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.v3draw.eswc,3501,12.5664,7,26,57,32,438.906,443.877,147,2.00501,3455.34,21771.3,10936.2,291.993,337.945,12,0.949931,60.4035,1.01216,78.0591,58.5061,1.07682
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1350,12.5664,7,19,43,25,155.02,149.04,107,1.99852,1315.61,8266.22,4133.11,101.659,122.946,5,0.955964,30.3721,1,70.9836,70.9272,1.03344
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.eswc,1981,12.5664,9,16,39,24,254.395,256.234,152,2.02524,1953.47,12437,6424.62,160.022,182.679,5,0.954318,49.7692,1.00011,71.5698,59.0793,1.07472
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.eswc,1421,12.5664,7,21,47,27,156.86,116.847,106,2.35048,1379.17,10231.1,8371.2,90.3365,153.925,7,0.926128,29.2128,1.02829,84.4039,81.2363,1.107
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1870,12.5664,8,26,58,33,189.331,136.652,126.078,2.05774,1819.05,11774,6519.08,125.373,157.74,5,0.945541,31.2241,1.00431,70.1886,62.4058,1.06326
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.eswc,2860,12.5664,10,39,86,48,181.212,197.34,164,2.10258,2788.45,18443.6,11025.8,159.698,165.88,12,0.94723,32.2442,1.0114,69.3439,60.1841,1.11141
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.eswc,2672,12.5664,8,34,74,41,224.566,227.423,114,317.974,2612.19,2.61E+06,3.78E+08,142.598,169.207,7,0.950032,35.0946,2.71671,72.1449,60.4849,1.11374
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.v3draw.eswc,4082,12.5664,9,35,77,43,358.244,330.84,149,2.05795,4025.45,26037.4,14317.7,211.817,220.001,6,0.964268,52,1.02102,62.517,54.0606,1.07563
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.v3draw.eswc,2699,12.5664,8,36,78,43,251.33,220.68,121,2.03009,2644.94,16877.5,8863.46,135.65,166.798,7,0.953699,33.5897,1.00306,68.5435,59.132,1.13613
07897_P041_T01_(4)_S006_-_TL.R_R0919_WYT_20230731_WYT.eswc,3618,12.5664,8,30,66,37,364.361,371.276,173,1.99945,3565.9,22405.2,11202.6,218.234,244.18,6,0.957177,53.803,1,72.4499,64.1103,1.05038
08750_P054_T01_-_S008_1dAFTsur_FP.R_R0919_RJ_20230921_YW.eswc,5180,12.5664,7,50,105,56,300.513,337.273,186.134,2.02888,5107.08,32559.3,16860,232.435,285.667,10,0.961368,48.3238,1.00372,67.76,57.0097,1.07707
08872_P053_T01_(1)_S027_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,8920,12.5664,12,51,112,62,392.413,400.684,252,219.026,8824.19,6.06E+06,3.76E+09,272.08,338.273,7,0.953466,78.6339,3.67772,71.579,54.691,1.10268
08983_P050_T01_-_S015_-_FL.R_R0613_WYT_20230821_OMZ.eswc,3924,12.5664,9,46,99,54,286.271,299.144,106,361.763,3843.54,4.37E+06,6.40E+08,224.931,253.02,10,0.938597,38.6263,9.41798,74.8978,57.3822,1.11909
09212_P053_T01_(1)_S034_-_TL.R_R0613_OMZ_20230915_YW.eswc,2117,12.5664,9,30,67,38,226.333,253.646,122,18.8455,2070.82,124885,5.02E+07,214.089,220.793,8,0.964828,30.5821,1.43162,72.7814,61.9168,1.10535
09224_P053_T01_(1)_S034_-_TL.R_R0919_OMZ_20230915_YW.eswc,4231,12.5664,7,37,79,43,334.436,402.522,165,1.99953,4171.32,26209.2,13104.6,246.185,273.86,12,0.959393,52.5443,1,70.4144,56.522,1.07242
09400_P051_T01_-_S028_-_TL.R_R0613_RJ_20230814_YW.eswc,3120,12.5664,8,41,88,48,249.491,308.308,145,70.1443,3055.84,671699,4.21E+08,206.469,242.409,10,0.966037,34.4432,2.3059,77.5497,63.7816,1.09631
09494_P053_T01_(1)_S002_-_TL.R_R0460_OMZ_20230915_OMZ.eswc,1191,12.5664,6,12,28,17,167.491,184.398,87.2768,2.00157,1170.7,7367.84,3690.79,147.637,183.948,5,0.93898,41.5,1.00009,78.0287,69.4211,1.11374
09550_P053_T01_(1)_S018_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,5563,12.5664,8,54,114,61,425.497,460.419,123,417.427,5479.28,7.20E+06,4.60E+09,361.327,375.067,12,0.938677,47.7895,11.0275,75.3976,67.9093,1.20231
09912_P057_T01_(1)_S006_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5637,12.5664,7,45,95,51,491.626,479.366,139.041,23.0991,5554.55,399182,2.22E+08,307.235,347.747,11,0.941095,58.3263,4.22058,73.5436,63.5167,1.09715
09988_P048_T01_(3)_S010_-_TL.R_R0919_WYT_20230818_WYT.eswc,6003,12.5664,10,53,114,62,468.69,378.628,211,311.222,5919.81,5.78E+06,8.39E+08,267.688,308.604,12,0.962705,51.6491,3.48412,67.6112,55.6792,1.07599
10218_P041_T01_(2)_S011_-_TL.R_R0919_OMZ_20230727_WYT.v3draw.eswc,3232,12.5664,9,37,81,45,430.092,431.93,136,2.09459,3173.57,20904.4,12214,352.921,401.245,15,0.96509,38.8889,1.00469,74.6382,66.9196,1.11838
10237_P057_T01_(1)_S011_-_TL.L_R0919_OMZ_20231019_WYT.v3draw.eswc,1802,12.5664,5,13,29,17,335.435,313.379,138,367.554,1773.5,2.05E+06,2.99E+08,251.381,301.935,6,0.961048,61.1034,4.0839,82.4628,62.4663,1.10426
10350_P057_T01_(1)_S002_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5270,12.5664,9,46,99,54,274.011,587.867,130,42.0188,5159.17,673402,4.01E+08,381.628,415.29,13,0.931002,52.2222,7.31777,74.3309,61.3812,1.12349
10790_P040_T01_-_S005_1dAFTsur_MTG.L_R0919_OMZ_20230712_YW.eswc,9533,12.5664,8,52,110,59,589.079,653.441,132.876,1.99979,9407.33,59108,29554,433.129,480.371,13,0.941641,85.6545,1,59.8666,47.4604,1.13119
