Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.v3draw.eswc,2945,12.5664,7,38,81,44,305.019,255.008,86,2.06857,2888.65,18785.8,10548.4,202.471,235.289,10,0.965736,35.3457,1.01263,68.0284,56.8824,1.08335
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.eswc,1240,12.5664,11,14,37,24,191.36,107.64,77.308,463.996,1207.65,1.76434e+06,2.58049e+08,123.012,167.954,5,0.919016,32.4865,7.50233,94.3083,65.5785,1.08064
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.eswc,2209,12.5664,10,39,86,48,222.64,160.08,72,2.03624,2141.99,13713.5,7223.19,135.002,144.413,13,0.947479,24.6744,1.00947,74.6533,65.6264,1.09751
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,2327,12.5664,8,35,76,42,211.939,210.68,97,2.14889,2265.39,15319.1,9531.02,139.542,152.849,7,0.939349,29.6053,1.00184,71.1388,56.1912,1.11262
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,1411,12.5664,9,23,53,31,139.84,207,92,2.22492,1372.42,9619.62,6613.43,141.556,160.455,6,0.942955,25.6038,1.02495,67.7667,61.4038,1.13221
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.v3draw.eswc,2410,12.5664,7,24,53,30,290.345,256.401,94,2.11194,2371.34,15750.5,9217.18,189.151,197.741,5,0.971652,44.4528,1.00558,73.7424,65.1787,1.07194
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.v3draw.eswc,3501,12.5664,7,26,57,32,438.906,443.877,147,2.00501,3455.34,21771.3,10936.2,291.993,337.945,12,0.949931,60.4035,1.01216,78.0591,58.5061,1.07682
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1350,12.5664,7,19,43,25,155.02,149.04,107,1.99852,1315.61,8266.22,4133.11,101.659,122.946,5,0.955964,30.3721,1,70.9836,70.9272,1.03344
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.eswc,1981,12.5664,9,16,39,24,254.395,256.234,152,2.02524,1953.47,12437,6424.62,160.022,182.679,5,0.954318,49.7692,1.00011,71.5698,59.0793,1.07472
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.eswc,1421,12.5664,7,21,47,27,156.86,116.847,106,2.35048,1379.17,10231.1,8371.2,90.3365,153.925,7,0.926128,29.2128,1.02829,84.4039,81.2363,1.107
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1870,12.5664,8,26,58,33,189.331,136.652,126.078,2.05774,1819.05,11774,6519.08,125.373,157.74,5,0.945541,31.2241,1.00431,70.1886,62.4058,1.06326
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.eswc,2860,12.5664,10,39,86,48,181.212,197.34,164,2.10258,2788.45,18443.6,11025.8,159.698,165.88,12,0.94723,32.2442,1.0114,69.3439,60.1841,1.11141
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.eswc,2672,12.5664,8,34,74,41,224.566,227.423,114,317.974,2612.19,2.60887e+06,3.7753e+08,142.598,169.207,7,0.950032,35.0946,2.71671,72.1449,60.4849,1.11374
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.v3draw.eswc,4082,12.5664,9,35,77,43,358.244,330.84,149,2.05795,4025.45,26037.4,14317.7,211.817,220.001,6,0.964268,52,1.02102,62.517,54.0606,1.07563
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.v3draw.eswc,2699,12.5664,8,36,78,43,251.33,220.68,121,2.03009,2644.94,16877.5,8863.46,135.65,166.798,7,0.953699,33.5897,1.00306,68.5435,59.132,1.13613
07897_P041_T01_(4)_S006_-_TL.R_R0919_WYT_20230731_WYT.eswc,3618,12.5664,8,30,66,37,364.361,371.276,173,1.99945,3565.9,22405.2,11202.6,218.234,244.18,6,0.957177,53.803,1,72.4499,64.1103,1.05038
