Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
120111_05new_ch2_neuron1.tif_06_143.v3dpbd.ano.eswc.attachment.eswc,5963,12.5664,3,64,129,66,206.856,462.8,48.5,2675.8,4980.1,4.18662e+07,2.80344e+10,344.259,428.407,19,0.867214,45.2171,6.74125,85.7783,58.3404,1.31691
120111_05new_ch2_neuron2.tif_06_143.v3dpbd.ano.eswc.attachment.eswc,4800,12.5664,4,53,108,56,207.064,466.089,49.5,2692.22,4343.09,3.67457e+07,2.47793e+10,349.466,433.417,18,0.87946,43.4352,5.03739,71.4265,48.8392,1.29447
1201_01_s06b_L36_Sum_ch2.tif_08_140.v3dpbd.ano.eswc.attachment.eswc,5000,12.5664,6,53,110,58,194.376,379.704,53,2663.6,4278.17,3.57884e+07,2.3944e+10,249.384,272.253,15,0.889728,44.4455,11.6216,75.1533,49.3733,1.38963
1201_01_s10mm_ch2.tif_01_142.v3dpbd.ano.eswc.attachment.eswc,4126,12.5664,4,49,100,52,307.736,474.032,54,2687.91,3873.19,3.27202e+07,2.2053e+10,407.475,485.562,18,0.895871,40.25,4.31996,65.5788,49.5925,1.30467
18454_42977_stps.swc,101,12.5664,5,8,19,12,13.242,11.735,7.23801,2196.53,78.7903,555932,3.70459e+08,8.53602,9.54621,3,0.931273,4.26316,227.068,71.1604,84.027,nan
18454_43136_stps.swc,169,12.5664,6,15,34,20,9.908,14.19,12.033,1254.64,136.847,597759,3.97947e+08,8.95298,11.3593,5,0.938802,3.94118,99.1749,51.2168,49.4878,1.36854
18454_43193_stps.swc,211,12.5664,6,26,56,31,10.618,15.903,11.76,407.956,169.358,224055,3.33333e+07,12.0589,14.8499,7,0.964715,2.75,55.3526,58.4811,64.8906,1.42489
18454_43202_stps.swc,220,12.5664,6,24,52,29,12.075,14.556,10.037,2293.58,177.19,1.28303e+06,8.58228e+08,9.203,10.0157,7,0.964452,3.21154,151.45,60.6411,60.0397,nan
18454_43467_stps.swc,165,12.5664,10,16,40,25,9.44199,9.186,12.296,1605.41,131.527,639939,4.28923e+08,6.83992,7.66049,5,0.948835,3.1,272.346,67.3704,56.781,1.41504
18454_43684_stps.swc,68,12.5664,5,4,11,8,12.782,8.73,7.989,2520.19,55.8491,450823,3.01094e+08,8.3564,9.98676,3,0.89625,5.09091,480.741,61.4566,82.2901,1.16993
18454_43720_stps.swc,191,12.5664,5,21,45,25,10.72,16.736,8.745,401.64,154.876,206968,3.07869e+07,13.4497,16.2785,6,0.960545,3.22222,47.9608,67.6708,65.4,1.50901
18454_43754_stps.swc,102,12.5664,7,9,23,15,12.705,6.416,10.512,1528.8,82.2008,378403,2.52668e+08,6.97916,7.26894,3,0.931646,3.3913,246.588,73.3248,63.0636,1.30812
18454_43781_stps.swc,124,12.5664,7,9,23,15,11.35,11.021,7.83701,1712.87,97.4743,532614,3.57073e+08,7.98684,9.28834,5,0.92345,4.34783,245.451,58.1426,74.4501,nan
18454_43782_stps.swc,82,12.5664,5,6,15,10,10.979,9.119,9.05,2509.69,62.8617,503538,3.34998e+08,7.60882,7.72877,4,0.942964,4.4,352.912,68.673,78.4578,nan
18454_43793_stps.swc,66,12.5664,2,9,18,10,6.43401,5.93201,5.346,2289.09,44.5641,313420,2.08782e+08,5.12828,6.9331,5,0.867151,2.61111,168.339,72.8737,78.9387,0
18454_43807_stps.swc,90,12.5664,7,6,17,12,11.434,8.16501,12.051,1333.52,73.3845,310091,2.07046e+08,11.6236,13.7742,3,0.88362,4.23529,362.521,69.6008,85.6503,1.32895
18454_43970_stps.swc,357,12.5664,11,34,77,44,11.214,14.791,14.612,478.592,284.69,445363,6.65145e+07,8.56665,9.1134,6,0.964493,3.62338,30.6695,69.8358,62.4836,1.52955
18454_43986_stps.swc,209,12.5664,6,22,48,27,13.209,13.833,12.19,256.775,171.963,129593,1.92216e+07,8.91498,9.19536,7,0.968893,3.33333,31.4968,62.031,52.6201,nan
18454_43992_stps.swc,194,12.5664,7,22,49,28,10.835,13.211,11.681,357.983,157.432,185066,2.75681e+07,7.52073,8.30442,5,0.968893,2.93878,32.8155,63.9633,55.8727,nan
18454_44036_stps.swc,172,12.5664,8,18,42,25,10.95,12.237,10.846,403.838,136.868,172951,2.5557e+07,6.92693,7.3927,6,0.969416,3.07143,39.4562,57.1055,55.2128,nan
18454_44037_stps.swc,205,12.5664,9,18,43,26,9.327,12.077,11.815,2379.87,163.937,1.26423e+06,8.45794e+08,7.64719,9.31217,4,0.940098,3.74419,208.175,64.6825,65.6916,1.56294
18454_44038_stps.swc,243,12.5664,7,30,65,36,11.225,11.686,11.48,1908.08,194.166,1.19268e+06,8.02356e+08,7.76717,9.56907,6,0.957804,2.72308,132.062,64.2659,60.3775,nan
18454_44040_stps.swc,189,12.5664,10,16,40,25,11.29,11.173,12.368,2583.64,152.666,1.26124e+06,8.4229e+08,7.76169,15.9488,5,0.941647,3.7,208.465,67.8559,57.9467,1.44361
18454_44047_stps.swc,238,12.5664,8,22,50,29,11.092,22.117,11.445,2034.13,196.322,1.27043e+06,8.53619e+08,14.0085,18.77,5,0.949679,3.74,148.693,51.5966,50.4938,1.41504
18454_44144_stps.swc,88,12.5664,6,9,22,14,6.82901,9.592,8.141,2310.3,68.1955,503822,3.36047e+08,5.69175,6.22462,4,0.950567,2.95455,295.73,69.4774,60.8398,nan
18454_44302_stps.swc,193,12.5664,9,18,43,26,11.206,11.144,10.901,414.537,157.891,210135,3.13434e+07,8.53596,9.14558,5,0.954929,3.46512,50.7997,67.6061,53.383,nan
18454_44579_stps.swc,174,12.5664,11,16,41,26,10.979,9.709,10.081,1732.26,141.178,812435,5.46095e+08,7.1226,7.7102,4,0.937514,3.21951,237.524,47.8395,48.1529,nan
slice12_4to51_ch2_neuron1.tif_01_141.v3dpbd.ano.eswc.attachment.eswc,6244,12.5664,2,70,140,71,361.464,483.808,35.5499,2675.96,5205.12,4.37588e+07,2.93141e+10,372.294,433.204,25,0.871589,43.5929,4.03873,75.0568,54.7015,1.27849
slice12_4to51_ch2_neuron2.tif_01_141.v3dpbd.ano.eswc.attachment.eswc,5403,12.5664,4,59,120,62,361.803,463.1,35.4165,2692.28,4933.14,4.17347e+07,2.81431e+10,394.861,451.474,18,0.894905,44.0167,4.46685,70.6108,48.6267,1.30797
yun_dendrites_apical.tif_10_117.v3dpbd.ano.eswc.attachment.eswc,9650,12.5664,8,82,170,89,401.4,427.5,249,596.629,9347.04,1.75323e+07,2.62738e+09,353.143,552.341,11,0.92654,55.7588,5.24284,78.075,56.8617,1.24869
