Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
06871_P040_T01_-_S014_-_MTG_R0919_synthetic.ano.eswc.attachment.eswc,8793,12.5664,10,65,138,74,434.918,934.071,219,1.99977,8617.29,54144,27072,619.689,672.555,9,0.915116,62.7101,1,80.0594,56.0595,1.21207
07095_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,8018,12.5664,6,55,114,60,592.974,773.798,231.172,1.99975,7862.51,49401.6,24700.8,455.216,537.208,12,0.915666,69.3246,1,76.0729,54.8503,1.13058
07103_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,6997,12.5664,6,37,78,42,619.046,433.768,173.702,1.99971,6850.22,43041.2,21520.6,319.086,438.382,12,0.88382,88.6923,1,95.5118,65.6607,1.12562
07105_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,5451,12.5664,7,36,77,42,390.965,434.687,185,1.99963,5342.76,33569.5,16784.8,292.161,391.361,9,0.903859,69.7792,1,98.3555,61.8165,1.10615
07898_P041_T01_(4)_S006_-_TL.R_R0613_WYT_20230731_WYT_synthetic.ano.eswc.attachment.eswc,2624,12.5664,9,35,77,43,245.712,212.221,146.923,1.99924,2563.15,16104.8,8052.39,157.274,199.681,11,0.938102,33.0649,1,69.8889,61.3151,1.10529
09567_P041_T01_-_S014_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7169,12.5664,8,58,122,65,430.232,400.834,235,1.99972,7027.43,44154.7,22077.3,320.695,408.769,13,0.935895,57.7541,1,82.3781,49.9547,1.07616
10046_P041_T01_-_S008_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,4736,12.5664,10,37,82,46,531.471,414.474,92,1.99958,4625.8,29064.7,14532.4,318.734,376.995,10,0.91811,56.7439,1,78.7636,52.8851,1.13342
10419_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,4528,12.5664,7,38,81,44,467.548,437.889,117,1.99956,4455.58,27995.3,13997.6,289.79,354.895,9,0.94478,54.8889,1,79.3932,60.2611,1.08501
10422_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,5024,12.5664,10,34,76,43,453.007,475.046,112,1.9996,4923.5,30935.2,15467.6,320.443,371.511,13,0.938129,65.0921,1,70.6875,55.7587,1.09212
10425_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_01_synthetic.ano.eswc.attachment.eswc,5526,12.5664,8,42,90,49,495.183,387.639,172,1.99964,5455.77,34279.6,17139.8,272.629,285.127,7,0.944742,60.3889,1,67.913,54.8161,1.08309
10433_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,5816,12.5664,7,44,93,50,397.646,478.313,143.685,1.99966,5695.53,35786.1,17893,267.765,351.982,15,0.928255,61.5269,1,58.6389,55.3011,1.17564
10435_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,5637,12.5664,6,52,108,57,438.295,362.896,138,1.99965,5488.07,34482.6,17241.3,277.203,325.896,18,0.913315,51.1852,1,72.7125,53.0313,1.14554
10438_P041_T01_-_S015_-_TL_R0613_synthetic.ano.eswc.attachment.eswc,7133,12.5664,5,61,125,65,549.322,440.707,124,1.99972,7011.37,44053.7,22026.9,311.535,332.847,14,0.94135,56.056,1,73.7559,55.6028,1.17507
10439_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6325,12.5664,9,48,103,56,466.133,441.301,145.961,1.99968,6213.97,39043.5,19521.8,303.338,363.255,12,0.939781,60.3981,1,66.6346,49.3146,1.1602
10440_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6381,12.5664,7,49,103,55,370.865,460.363,141,1.99969,6222.81,39099.1,19549.5,284.574,334.056,12,0.913395,60.9417,1,86.4862,68.2212,1.09403
