Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.v3draw.eswc,3101,12.5664,9,38,83,46,310.434,271.559,86,71.882,3041.48,686005,9.69E+07,209.77,245.561,11,0.958801,36.3494,6.33499,67.9383,58.534,1.09678
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.eswc,1608,12.5664,11,19,47,29,191.36,114.54,80,1250.82,1563.28,6.16E+06,3.27E+09,123.012,167.954,5,0.925012,33.1915,6.58302,90.6609,66.9776,1.10045
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.eswc,2325,12.5664,10,41,90,50,232.784,184.46,72,77.0153,2253.87,548137,7.79E+07,135.002,146.399,13,0.946033,24.8222,3.21909,75.5144,64.0124,1.09222
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,2358,12.5664,8,36,78,43,211.939,218.828,97,1675.1,2294.45,1.21E+07,8.00E+09,139.542,152.849,7,0.939637,29.2179,61.0519,68.7549,56.907,1.11478
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,1485,12.5664,10,25,58,34,136.16,206.423,92.889,99.4098,1444.36,457877,1.14E+08,141.165,165.062,6,0.932705,24.5862,5.94462,69.1605,62.2383,1.14023
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.v3draw.eswc,2910,12.5664,10,26,60,35,354.675,256.401,103,109.636,2861.01,987995,1.35E+08,189.151,201.571,6,0.951043,47.4833,5.95378,75.1361,65.5047,1.09986
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.v3draw.eswc,3601,12.5664,7,27,59,33,454.529,443.877,147,375.137,3551.04,4.17E+06,1.33E+09,291.993,339.237,12,0.943516,60.0169,8.01389,80.4532,58.1143,1.07358
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1397,12.5664,7,19,43,25,161.926,149.04,113,437.456,1364.26,1.89E+06,1.23E+09,107.491,129.507,5,0.962991,31.4651,22.3952,73.4608,70.9037,1.03121
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.eswc,1811,12.5664,7,16,37,22,196.16,256.234,152,183.011,1786.6,1.03E+06,3.65E+08,153.913,177.881,5,0.955757,47.9189,8.37663,75.7927,62.5227,1.07792
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.eswc,1453,12.5664,7,22,49,28,156.86,112.247,106,373.625,1410.71,1.68E+06,1.07E+09,90.3365,152.545,7,0.927644,28.6327,25.7548,82.4411,80.6157,1.09833
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1881,12.5664,8,27,60,34,189.331,136.652,130.978,134.102,1827,758350,4.98E+08,125.373,157.74,5,0.943624,30.3333,9.0959,70.0543,63.0319,1.06268
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.eswc,2860,12.5664,10,39,86,48,181.212,197.34,164,1220.96,2788.45,1.07E+07,7.05E+09,159.698,165.88,12,0.94723,32.2442,26.7676,69.1724,61.4064,1.06123
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.eswc,2898,12.5664,8,37,80,44,224.566,227.423,114,656.691,2832.69,5.84E+06,2.67E+09,142.598,164.253,8,0.943948,35.2125,11.7264,72.4376,59.0631,1.12188
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.v3draw.eswc,4301,12.5664,9,35,77,43,358.244,348.301,158.484,368.772,4245.14,4.92E+06,1.50E+09,233.112,246.577,6,0.962671,54.8442,4.02369,64.9522,56.3032,1.06855
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.v3draw.eswc,3098,12.5664,8,43,92,50,254.395,220.68,121,947.763,3031.58,9.06E+06,5.85E+09,156.556,168.831,7,0.950983,32.663,60.0619,71.3406,56.8739,1.11806
07897_P041_T01_(4)_S006_-_TL.R_R0919_WYT_20230731_WYT.eswc,3995,12.5664,12,31,72,42,364.361,371.276,173,65.1546,3936.36,807126,1.12E+08,218.234,244.18,6,0.951688,54.4722,3.42233,71.9456,62.8845,1.07412
08750_P054_T01_-_S008_1dAFTsur_FP.R_R0919_RJ_20230921_YW.eswc,5797,12.5664,7,55,115,61,349.22,386.87,213.184,648.89,5713.27,1.17E+07,7.68E+09,244.883,270.481,10,0.95877,49.4,33.8924,65.627,56.811,1.08038
08872_P053_T01_(1)_S027_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,9449,12.5664,12,51,112,62,392.413,412.101,252,1001.78,9347.7,2.94E+07,1.92E+10,290.111,338.787,7,0.951829,83.3571,18.5662,70.8026,55.7879,1.10277
08983_P050_T01_-_S015_-_FL.R_R0613_WYT_20230821_OMZ.eswc,4123,12.5664,9,50,107,58,286.271,305.887,106,469.105,4038.46,5.96E+06,1.69E+09,224.931,253.02,10,0.936822,37.5234,21.4582,73.2931,58.5509,1.12015
09212_P053_T01_(1)_S034_-_TL.R_R0613_OMZ_20230915_YW.eswc,2436,12.5664,8,34,74,41,261.749,307.639,122,1231.48,2382.93,9.26E+06,6.05E+09,266.556,276.378,9,0.964014,31.9054,31.5951,72.6154,64.8577,1.10396
09224_P053_T01_(1)_S034_-_TL.R_R0919_OMZ_20230915_YW.eswc,4449,12.5664,7,37,79,43,334.436,402.522,188,429.115,4387.75,5.92E+06,2.02E+09,246.469,309.519,12,0.956691,55.3038,7.85183,70.1906,56.184,1.07186
09400_P051_T01_-_S028_-_TL.R_R0613_RJ_20230814_YW.eswc,3120,12.5664,8,41,88,48,249.491,308.308,145,2.08632,3055.82,20049,11575.1,206.469,242.409,10,0.966036,34.4432,1.00836,77.3106,63.7816,1.09631
09494_P053_T01_(1)_S002_-_TL.R_R0460_OMZ_20230915_OMZ.eswc,1434,12.5664,4,18,38,21,179.056,214.972,90.666,1504.41,1398.5,6.62E+06,4.34E+09,164.445,183.948,6,0.944156,36.7105,14.7597,77.3177,65.5715,1.10332
09550_P053_T01_(1)_S018_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,5913,12.5664,10,56,120,65,431.011,466.852,123,543.672,5821.4,9.96E+06,5.53E+09,361.327,375.062,11,0.93316,48.2667,18.6011,78.3772,67.4685,1.20276
09912_P057_T01_(1)_S006_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5936,12.5664,7,45,95,51,491.626,484.883,139.041,106.403,5848.41,1.96E+06,7.16E+08,307.235,347.747,12,0.93897,61.4737,6.25917,77.3118,63.6138,1.09195
09988_P048_T01_(3)_S010_-_TL.R_R0919_WYT_20230818_WYT.eswc,6069,12.5664,10,55,118,64,468.69,378.628,211,424.927,5979.84,7.99E+06,2.38E+09,267.688,308.604,12,0.961113,50.4237,6.00573,67.8978,55.8276,1.13533
10218_P041_T01_(2)_S011_-_TL.R_R0919_OMZ_20230727_WYT.v3draw.eswc,3606,12.5664,9,44,95,52,439.282,442.297,148,978.596,3537.67,1.09E+07,5.98E+09,352.921,404.415,16,0.961542,36.9474,14.8952,74.7933,67.6757,1.13687
10237_P057_T01_(1)_S011_-_TL.L_R0919_OMZ_20231019_WYT.v3draw.eswc,2671,12.5664,5,19,41,23,354.502,336.375,148,1550.69,2628.22,1.29E+07,7.74E+09,270.604,307.258,8,0.956942,64.122,7.92418,76.5389,60.6798,1.07615
10350_P057_T01_(1)_S002_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5278,12.5664,9,46,99,54,274.011,587.867,130,99.2962,5166.26,1.62E+06,1.02E+09,381.628,415.29,13,0.931862,52.303,1.45493,74.1508,61.2606,1.12412
10790_P040_T01_-_S005_1dAFTsur_MTG.L_R0919_OMZ_20230712_YW.eswc,9736,12.5664,8,53,112,60,610.216,660.679,132.876,218.15,9603.84,6.60E+06,4.34E+09,433.129,480.369,14,0.93894,85.9196,3.56142,60.3751,48.4613,1.13263
