Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.v3draw.eswc,3101,12.5664,9,38,83,46,310.434,271.559,86,71.882,3041.48,686005,9.69391e+07,209.77,245.561,11,0.958801,36.3494,6.33499,67.9383,58.534,1.09678
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.eswc,1608,12.5664,11,19,47,29,191.36,114.54,80,1250.82,1563.28,6.15642e+06,3.27223e+09,123.012,167.954,5,0.925012,33.1915,6.58302,90.6609,66.9776,1.10045
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.eswc,2325,12.5664,10,41,90,50,232.784,184.46,72,77.0153,2253.87,548137,7.78657e+07,135.002,146.399,13,0.946033,24.8222,3.21909,75.5144,64.0124,1.09222
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,2358,12.5664,8,36,78,43,211.939,218.828,97,1675.1,2294.45,1.20765e+07,7.99934e+09,139.542,152.849,7,0.939637,29.2179,61.0519,68.7549,56.907,1.11478
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,1485,12.5664,10,25,58,34,136.16,206.423,92.889,99.4098,1444.36,457877,1.14398e+08,141.165,165.062,6,0.932705,24.5862,5.94462,69.1605,62.2383,1.14023
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.v3draw.eswc,2910,12.5664,10,26,60,35,354.675,256.401,103,109.636,2861.01,987995,1.3478e+08,189.151,201.571,6,0.951043,47.4833,5.95378,75.1361,65.5047,1.09986
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.v3draw.eswc,3601,12.5664,7,27,59,33,454.529,443.877,147,375.137,3551.04,4.17125e+06,1.32589e+09,291.993,339.237,12,0.943516,60.0169,8.01389,80.4532,58.1143,1.07358
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1397,12.5664,7,19,43,25,161.926,149.04,113,437.456,1364.26,1.8855e+06,1.23052e+09,107.491,129.507,5,0.962991,31.4651,22.3952,73.4608,70.9037,1.03121
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.eswc,1811,12.5664,7,16,37,22,196.16,256.234,152,183.011,1786.6,1.02926e+06,3.65433e+08,153.913,177.881,5,0.955757,47.9189,8.37663,75.7927,62.5227,1.07792
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.eswc,1453,12.5664,7,22,49,28,156.86,112.247,106,373.625,1410.71,1.67563e+06,1.0716e+09,90.3365,152.545,7,0.927644,28.6327,25.7548,82.4411,80.6157,1.09833
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1881,12.5664,8,27,60,34,189.331,136.652,130.978,134.102,1827,758350,4.98117e+08,125.373,157.74,5,0.943624,30.3333,9.0959,70.0543,63.0319,1.06268
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.eswc,2860,12.5664,10,39,86,48,181.212,197.34,164,1220.96,2788.45,1.07136e+07,7.05037e+09,159.698,165.88,12,0.94723,32.2442,26.7676,69.1724,61.4064,1.06123
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.eswc,2898,12.5664,8,37,80,44,224.566,227.423,114,656.691,2832.69,5.83827e+06,2.66864e+09,142.598,164.253,8,0.943948,35.2125,11.7264,72.4376,59.0631,1.12188
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.v3draw.eswc,4301,12.5664,9,35,77,43,358.244,348.301,158.484,368.772,4245.14,4.92225e+06,1.49586e+09,233.112,246.577,6,0.962671,54.8442,4.02369,64.9522,56.3032,1.06855
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.v3draw.eswc,3098,12.5664,8,43,92,50,254.395,220.68,121,947.763,3031.58,9.06385e+06,5.84779e+09,156.556,168.831,7,0.950983,32.663,60.0619,71.3406,56.8739,1.11806
