Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
06871_P040_T01_-_S014_-_MTG_R0919_synthetic.ano.eswc.attachment.eswc,11517,12.5664,10,81,170,90,443.877,993.441,218,1.99983,11297.9,70986.8,35493.4,623.731,674.789,13,0.91827,66.7412,1,82.458,56.7933,1.23841
07095_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,10546,12.5664,7,70,145,76,584.484,774.717,236,1.99981,10364.2,65120.5,32560.3,454.901,527.422,14,0.915622,71.7241,1,73.4578,55.4449,1.13752
07103_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,7169,12.5664,7,39,83,45,620.891,433.768,176,1.99972,7019.68,44105.9,22053,319.813,438.079,12,0.898519,85.3614,1,81.2655,63.3627,1.13003
07105_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,6169,12.5664,8,38,82,45,396.089,435.606,186,1.99968,6048.68,38005,19002.5,297.61,355.806,11,0.908815,74.2195,1,73.6971,58.5891,1.11777
07898_P041_T01_(4)_S006_-_TL.R_R0613_WYT_20230731_WYT_synthetic.ano.eswc.attachment.eswc,5388,12.5664,10,51,110,60,295.466,294.853,175,1.99963,5250.64,32990.8,16495.4,224.975,243.268,12,0.92717,47.9727,1,77.3905,59.5621,1.07516
09567_P041_T01_-_S014_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,10193,12.5664,7,71,147,77,470.784,465.804,236.985,1.9998,9987.89,62755.8,31377.9,326.217,406.575,16,0.9385,68.3333,1,77.5476,48.6929,1.07144
10046_P041_T01_-_S008_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6823,12.5664,8,43,92,50,546.183,458.524,137.512,1.99971,6663.13,41865.7,20932.8,337.076,391.99,11,0.912637,73.1522,1,83.8744,51.3744,1.13178
10419_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,8024,12.5664,9,54,115,62,499.017,434.687,212.774,1.99975,7884,49536.6,24768.3,283.943,331.974,12,0.935086,68.7652,1,76.517,55.0106,1.14256
10422_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6849,12.5664,11,36,81,46,559.553,496.73,184.403,1.99971,6707.97,42147.4,21073.7,383.686,426.687,15,0.933396,83.5432,1,69.4998,51.181,1.14924
10425_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_01_synthetic.ano.eswc.attachment.eswc,10810,12.5664,8,67,140,74,547.796,498.098,185.126,1.99981,10659.6,66976.5,33488.2,321.58,384.463,9,0.935862,76.2071,1,71.6935,49.9007,1.14902
10433_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7575,12.5664,7,56,117,62,438.295,489.347,150,1.99974,7403.63,46518.4,23259.2,267.8,327.154,17,0.930527,63.735,1,63.1354,52.5478,1.18933
10435_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,8929,12.5664,7,57,119,63,496.53,434.617,139,1.99978,8738.63,54906.4,27453.2,306.127,351.694,19,0.920197,74.0252,1,71.864,53.5926,1.21043
10438_P041_T01_-_S015_-_TL_R0613_synthetic.ano.eswc.attachment.eswc,10869,12.5664,6,77,158,82,559.056,464.858,130.958,1.99982,10663.2,66998.6,33499.3,318.6,357.231,15,0.937977,67.7848,1,75.0717,53.2865,1.19299
10439_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,8208,12.5664,9,56,119,64,461.525,472.623,145.961,1.99976,8050.64,50583.7,25291.8,305.831,367.936,14,0.939047,67.9664,1,67.3928,51.9285,1.14945
10440_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7277,12.5664,8,48,102,55,388.642,465.88,142.955,1.99973,7106.15,44649.3,22324.6,287.619,339.347,12,0.913055,70.3333,1,84.3756,64.8656,1.16386
