Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
03764_P025_T02_-S054_TL_R0613_YW-20230204_NYT.v3draw.eswc,3096,12.5664,9,38,83,46,310.434,271.559,86,93.2306,3036.78,884056,2.55E+08,209.77,245.101,11,0.95944,36.2892,7.13223,69.0177,59.0717,1.09649
04176_P019_T03_-S019_SFG_R0460_YW-20230414_NYT.eswc,1575,12.5664,11,18,45,28,191.36,114.54,80,1148.57,1531.01,5.54E+06,2.87E+09,123.012,167.954,5,0.924202,33.9778,6.83115,94.4975,67.5662,1.10332
04278_P019_T02_-S056_FP.R_R0460_YS-20230426_HZY.eswc,2325,12.5664,10,41,90,50,232.784,184.46,72,77.0153,2253.87,548137,7.79E+07,135.002,146.399,13,0.946033,24.8222,3.21909,75.5144,64.0124,1.09222
04393_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,2380,12.5664,8,36,78,43,211.939,218.828,97,1684.41,2316.8,1.23E+07,8.13E+09,139.542,152.849,7,0.939255,29.5,63.7379,68.7532,56.4633,1.1136
04409_P029_T01_-S026_FL_R0460_RJ-20230303_RJ.eswc,1472,12.5664,10,25,58,34,136.16,206.423,92.889,78.5737,1431.55,358025,4.99E+07,141.165,165.062,6,0.932582,24.3621,5.94462,69.1611,62.311,1.13708
05578_P031_T02_(4)-S009_RTL_R0919_YS-20230522_YW.v3draw.eswc,2883,12.5664,10,25,58,34,354.675,256.401,103,104.673,2835.99,934931,1.31E+08,189.151,201.571,5,0.95718,48.6897,5.35336,73.9634,65.1964,1.09806
06019_P035_T01_-_S003_-_CC.L_R0919_YW_20230616_OMZ.v3draw.eswc,3566,12.5664,7,27,59,33,454.529,443.877,147,378.086,3516.54,4.16E+06,1.33E+09,291.993,339.237,12,0.94667,59.4237,6.63313,80.3726,58.1931,1.0764
06226_P032_T01_(1)_S049_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1397,12.5664,7,19,43,25,161.926,149.04,113,437.456,1364.26,1.89E+06,1.23E+09,107.491,129.507,5,0.962991,31.4651,22.3952,73.4608,70.9037,1.03121
06484_P031_T02_(4)_S016_-_RTL_R0613_YS_20230522_NYT.eswc,1804,12.5664,7,16,37,22,196.16,256.234,152,97.8788,1778.94,550859,7.65E+07,153.913,177.776,5,0.957426,47.7297,7.61757,72.9782,62.0679,1.0756
06494_P031_T02_(4)_S016_-_RTL_R0460_YS_20230522_NYT.eswc,1569,12.5664,7,22,49,28,182.62,116.847,106,364.382,1525.24,1.78E+06,1.14E+09,114.272,185.551,7,0.922322,31,1.32435,82.5723,78.6795,1.09062
06621_P032_T01_(1)_S025_-_PL.L_OL.L_R0460_NYT_20230609_YW.eswc,1870,12.5664,8,26,58,33,189.331,136.652,126.078,63.3253,1818.43,357038,2.30E+08,125.373,157.74,5,0.945694,31.2241,1.00431,70.1887,62.4058,1.06326
06687_P041_T01_-_S004_-_TL.R_R0460_OMZ_20230713_OMZ.eswc,2860,12.5664,10,39,86,48,181.212,197.34,164,1220.96,2788.45,1.07E+07,7.05E+09,159.698,165.88,12,0.94723,32.2442,26.7676,69.1724,61.4064,1.06123
06905_P041_T01_-_S007_-_TL.R_R0613_OMZ_20230713_RJ.eswc,2898,12.5664,8,37,80,44,224.566,227.423,114,656.691,2832.69,5.84E+06,2.67E+09,142.598,164.253,8,0.943948,35.2125,11.7264,72.4376,59.0631,1.12188
07040_P041_T01_(3)_S033_-_TL.R_R0919_WYT_20230731_YW.v3draw.eswc,4262,12.5664,9,35,77,43,358.244,348.301,149,367.416,4204.92,4.86E+06,1.47E+09,233.112,246.577,6,0.962565,54.3377,3.82029,64.7697,56.1287,1.06988
07699_P041_T01_(2)_S010_-_TL.R_R0613_OMZ_20230727_RJ.v3draw.eswc,3068,12.5664,8,42,90,49,254.395,220.68,121,928.981,3003.95,8.80E+06,5.69E+09,156.556,168.831,7,0.951435,33.0778,47.6368,70.2638,56.9548,1.11853
07897_P041_T01_(4)_S006_-_TL.R_R0919_WYT_20230731_WYT.eswc,3995,12.5664,12,31,72,42,364.361,371.276,173,65.1546,3936.36,807126,1.12E+08,218.234,244.18,6,0.951688,54.4722,3.42233,71.9456,62.8845,1.07412
08750_P054_T01_-_S008_1dAFTsur_FP.R_R0919_RJ_20230921_YW.eswc,5744,12.5664,7,54,113,60,349.22,386.87,213.184,629.805,5660.86,1.12E+07,7.39E+09,244.883,270.481,10,0.959243,49.823,33.966,65.8145,57.3666,1.0783
08872_P053_T01_(1)_S027_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,9408,12.5664,12,50,110,61,392.413,412.101,252,998.347,9306.74,2.92E+07,1.90E+10,290.111,338.794,7,0.951361,84.5182,18.6374,70.4062,55.2622,1.10188
08983_P050_T01_-_S015_-_FL.R_R0613_WYT_20230821_OMZ.eswc,4123,12.5664,9,50,107,58,286.271,305.887,106,469.105,4038.46,5.96E+06,1.69E+09,224.931,253.02,10,0.936822,37.5234,21.4582,73.2931,58.5509,1.12015
09212_P053_T01_(1)_S034_-_TL.R_R0613_OMZ_20230915_YW.eswc,2416,12.5664,8,34,74,41,253.974,302.024,122,1005.59,2363.36,7.50E+06,4.86E+09,257.911,267.553,9,0.962783,31.6351,31.5817,73.6665,65.6677,1.10043
09224_P053_T01_(1)_S034_-_TL.R_R0919_OMZ_20230915_YW.eswc,4449,12.5664,7,37,79,43,334.436,402.522,188,429.115,4387.75,5.92E+06,2.02E+09,246.469,309.519,12,0.956691,55.3038,7.85183,70.1906,56.184,1.07186
09400_P051_T01_-_S028_-_TL.R_R0613_RJ_20230814_YW.eswc,3124,12.5664,8,41,88,48,249.491,308.308,146,72.6767,3059.61,698754,4.37E+08,206.469,242.409,10,0.965847,34.4886,1.39269,76.5965,63.9406,1.09606
09494_P053_T01_(1)_S002_-_TL.R_R0460_OMZ_20230915_OMZ.eswc,1434,12.5664,4,18,38,21,179.056,214.972,90.666,1504.41,1398.5,6.62E+06,4.34E+09,164.445,183.948,6,0.944156,36.7105,14.7597,77.3177,65.5715,1.10332
09550_P053_T01_(1)_S018_-_TL.R_R0919_OMZ_20230915_YW.v3draw.eswc,5856,12.5664,10,54,116,63,431.011,466.852,123,551.407,5765.51,1.00E+07,5.57E+09,361.327,375.866,11,0.936912,49.4741,14.6361,79.0538,68.7826,1.19976
09912_P057_T01_(1)_S006_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5924,12.5664,7,45,95,51,491.626,484.883,139.041,74.1986,5837.39,1.36E+06,3.12E+08,307.235,347.747,12,0.939581,61.3474,4.51412,75.3206,63.6082,1.09148
09988_P048_T01_(3)_S010_-_TL.R_R0919_WYT_20230818_WYT.eswc,6071,12.5664,10,55,118,64,468.69,378.628,211,425.847,5982.25,8.01E+06,2.40E+09,267.688,308.604,12,0.960697,50.4407,6.25764,68.3856,55.8276,1.13536
10218_P041_T01_(2)_S011_-_TL.R_R0919_OMZ_20230727_WYT.v3draw.eswc,3595,12.5664,9,43,93,51,439.282,442.297,148,939.865,3526.86,1.05E+07,5.68E+09,352.921,404.415,15,0.961202,37.6452,9.81147,74.1753,66.8783,1.13626
10237_P057_T01_(1)_S011_-_TL.L_R0919_OMZ_20231019_WYT.v3draw.eswc,2671,12.5664,5,19,41,23,354.502,336.375,148,1550.69,2628.22,1.29E+07,7.74E+09,270.604,307.258,8,0.956942,64.122,7.92418,76.5389,60.6798,1.07615
10350_P057_T01_(1)_S002_-_TL.L_R0613_OMZ_20231019_RJ.v3draw.eswc,5267,12.5664,9,46,99,54,274.011,587.867,130,132.934,5156.63,2.15E+06,1.39E+09,381.628,415.29,13,0.932254,52.1919,10.4301,73.9725,61.2985,1.12346
10790_P040_T01_-_S005_1dAFTsur_MTG.L_R0919_OMZ_20230712_YW.swc.eswc,9685,12.5664,8,53,112,60,610.216,653.441,132.876,79.9311,9555.08,2.40E+06,1.57E+09,433.129,480.371,13,0.938905,85.4643,1,59.7183,48.2161,1.13189
12507_P061_T01_(1)_S022_-_MFG.R_R0919_OMZ_20240115_WYT.ano.eswc.attachment.eswc,4859,12.5664,9,52,111,60,314.298,369.438,239,1568.14,4777.2,2.35E+07,1.47E+10,233.321,247.133,12,0.944489,42.7658,43.6791,66.8706,57.71,1.10115
12514_P061_T01_(1)_S029_-_MFG.R_R0613_OMZ_20240115_WYT.ano.eswc.attachment.eswc,7293,12.5664,6,55,114,60,583.875,424.063,174,2071.42,7170.51,4.67E+07,3.11E+10,350.086,405.643,13,0.947176,62.9649,36.2326,67.6677,54.1193,1.13658
12555_P061_T01_(1)_S013_-_MFG.R_R0919_OMZ_20240115_YW.ano.eswc.attachment.eswc,4538,12.5664,11,46,101,56,359.942,303.668,95,817.932,4446.03,1.15E+07,4.49E+09,207.796,240.914,8,0.929997,43.9208,8.04848,66.5888,53.7821,1.12804
12606_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,5773,12.5664,11,56,121,66,386.899,365.762,142,2144.58,5675.57,3.83E+07,2.53E+10,239.319,318.787,11,0.946444,46.7025,19.3175,65.6469,54.1823,1.11759
12607_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,6443,12.5664,10,67,142,76,307.536,374.033,163.967,1677.49,6331.34,3.35E+07,2.21E+10,250.044,275.919,12,0.948162,44.3662,46.2561,64.8901,53.5816,1.10652
12648_P061_T01_(1)_S009_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,5413,12.5664,10,58,124,67,357.758,292.242,165,408.93,5310.54,6.84E+06,1.16E+09,203.219,242.271,8,0.946661,42.6452,7.19126,69.375,54.3624,1.12199
12731_P057_T01_(2)_S038_-_TL.L_R0919_OMZ_20231020_WYT.ano.eswc.attachment.eswc,5834,12.5664,12,47,104,58,385.061,465.933,120.963,508.345,5756.63,9.21E+06,2.41E+09,251.779,276.039,9,0.952912,55.0865,11.1709,71.1156,56.5417,1.19227
12839_P061_T01_(1)_S023_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,7333,12.5664,8,60,126,67,461.338,427.488,163,2027.54,7223.62,4.61E+07,3.01E+10,313.403,370.011,11,0.950304,57.1905,52.7761,70.778,64.928,1.0916
12987_P061_T01_(1)_S031_-_MFG.R_R0613_OMZ_20240115_WYT.ano.eswc.attachment.eswc,8012,12.5664,8,68,142,75,406.419,492.239,200,1732.22,7877.96,4.28E+07,2.84E+10,299.1,362.751,13,0.935545,55.4155,49.2797,72.8187,54.3657,1.16176
13262_P067_T01_(1)_S016_-_TL.L_R0613_OMZ_20240312_WYT.ano.eswc.attachment.eswc,4807,12.5664,11,36,81,46,556.473,484.27,117,725.342,4705.76,1.07E+07,3.56E+09,346.244,431.835,11,0.934613,58.3333,4.65781,73.4489,64.2179,1.13984
13417_P061_T01_(1)_S026_-_MFG.R_R0919_OMZ_20240115_OMZ.ano.eswc.attachment.eswc,4513,12.5664,8,54,114,61,335.435,290.302,118,1230.07,4435.4,1.72E+07,1.07E+10,228.621,244.922,12,0.95716,38.5789,30.9032,66.8134,55.9534,1.1967
13622_P065_T01_(1)_S008_-_PL.L_OL.L_R0919_OMZ_20240229_YW.ano.eswc.attachment.eswc,8028,12.5664,12,56,122,67,356.572,340.03,221,2142.78,7916.06,5.33E+07,3.53E+10,257.978,314.481,7,0.940642,64.7951,27.3505,63.3537,52.8591,1.18387
