Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
120111_05new_ch2_neuron1.tif_06_143.v3dpbd.ano.eswc.attachment.eswc,5825,12.5664,3,62,125,64,206.856,462.8,48.5,2674,4867.23,4.08822e+07,2.73689e+10,344.259,427.549,18,0.869008,45.592,3.80725,81.2762,54.6067,1.31045
120111_05new_ch2_neuron2.tif_06_143.v3dpbd.ano.eswc.attachment.eswc,5638,12.5664,4,60,122,63,207.584,466.792,49.5,2686.34,4985.72,4.20888e+07,2.83136e+10,349.466,434.993,20,0.87512,45.2049,4.77978,69.2729,47.0907,1.32834
1201_01_s06b_L36_Sum_ch2.tif_08_140.v3dpbd.ano.eswc.attachment.eswc,5005,12.5664,6,53,110,58,194.376,379.704,53,2626.59,4279.46,3.53089e+07,2.35476e+10,249.384,272.045,15,0.889823,44.4909,11.6145,75.0323,49.3384,1.38978
1201_01_s10mm_ch2.tif_01_142.v3dpbd.ano.eswc.attachment.eswc,4576,12.5664,3,54,109,56,307.736,474.032,54,2117.47,4261.03,2.84451e+07,1.80334e+10,407.475,487.586,20,0.894899,40.9725,1.6355,70.0711,53.3681,1.32862
18454_42977_stps.swc,101,12.5664,5,8,19,12,13.242,11.735,7.23801,2196.53,78.7903,555932,3.70459e+08,8.53602,9.54621,3,0.931273,4.26316,227.068,71.1604,84.027,nan
18454_43136_stps.swc,161,12.5664,6,14,32,19,9.87001,14.19,12.033,1689.71,130.382,715363,4.76907e+08,8.95298,11.3593,4,0.935556,4,217.447,57.9101,51.7052,1.37145
18454_43193_stps.swc,211,12.5664,6,26,56,31,10.613,15.903,11.804,1036.58,164.957,557350,2.8282e+08,12.0589,14.8499,7,0.96569,2.75,79.1792,61.3738,64.7007,1.39323
18454_43202_stps.swc,220,12.5664,6,24,52,29,12.075,14.556,10.037,2293.67,177.19,1.28306e+06,8.58272e+08,9.203,10.0157,7,0.964452,3.21154,151.45,60.6411,60.0397,nan
18454_43467_stps.swc,168,12.5664,10,16,40,25,9.436,8.539,12.333,2208.27,131.22,922603,6.18416e+08,6.83992,7.38162,5,0.949159,3.175,282.058,71.513,56.2508,1.36388
18454_43684_stps.swc,68,12.5664,5,4,11,8,12.782,8.73,7.989,2520.19,55.8491,450823,3.01094e+08,8.3564,9.98676,3,0.89625,5.09091,480.741,61.4566,82.2901,1.16993
18454_43720_stps.swc,193,12.5664,5,21,45,25,10.72,16.736,8.745,394.4,156.94,205065,3.04985e+07,13.4497,16.2785,6,0.959056,3.26667,47.9608,67.6101,64.8615,1.47917
18454_43754_stps.swc,104,12.5664,6,10,24,15,12.705,6.784,10.542,1397.14,83.447,354774,2.03784e+08,6.97916,7.2776,3,0.935361,3.29167,263.269,75.4578,71.2383,1.25481
18454_43781_stps.swc,125,12.5664,7,9,23,15,11.35,11.021,7.84,2110.08,98.8226,668379,4.47399e+08,7.98684,9.28834,5,0.921321,4.3913,307.297,59.344,80.9046,nan
18454_43782_stps.swc,88,12.5664,5,7,17,11,10.979,9.119,9.05,2488.98,66.0013,524453,3.47497e+08,7.60882,7.72877,4,0.940018,4.11765,311.465,82.0679,72.6592,nan
18454_43793_stps.swc,62,12.5664,2,8,16,9,6.43401,5.93201,5.346,2306.97,42.0939,297043,1.97818e+08,5.12828,6.9331,5,0.892272,2.8125,168.375,66.8183,80.6685,0
18454_43807_stps.swc,97,12.5664,7,7,19,13,12.964,8.16501,12.165,1329,79.2893,333121,1.89692e+08,11.6236,14.0455,4,0.886132,4.05263,161.477,71.2886,77.0054,nan
18454_43970_stps.swc,357,12.5664,11,34,77,44,11.214,14.791,14.629,609.873,285.121,568730,1.58429e+08,8.56665,9.14084,6,0.963496,3.62338,30.7532,70.8506,62.6072,1.53862
18454_43986_stps.swc,207,12.5664,6,22,48,27,13.209,13.833,12.19,409.452,171.462,211854,7.95545e+07,8.91498,9.12155,7,0.967563,3.29167,43.951,59.3764,51.1835,nan
18454_43992_stps.swc,201,12.5664,7,22,49,28,10.835,13.336,11.681,1092.69,160.379,581643,3.00269e+08,7.59074,8.30442,5,0.967262,3.08163,65.9231,65.2988,59.2356,nan
18454_44036_stps.swc,172,12.5664,8,18,42,25,10.95,12.237,10.881,490.015,136.858,211341,5.27603e+07,6.92693,7.3927,6,0.969236,3.07143,39.8754,57.3999,54.4587,nan
18454_44037_stps.swc,205,12.5664,9,18,43,26,9.327,12.077,11.815,2379.87,163.937,1.26423e+06,8.45794e+08,7.64719,9.31217,4,0.940098,3.74419,208.175,64.6825,65.6916,1.56294
18454_44038_stps.swc,242,12.5664,11,26,61,36,11.225,11.696,11.425,1728.74,196.649,1.08015e+06,6.86851e+08,7.76717,9.56819,4,0.95326,2.95082,141.106,65.9238,57.9555,nan
