Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
06871_P040_T01_-_S014_-_MTG_R0919_synthetic.ano.eswc.attachment.eswc,11240,12.5664,10,80,168,89,434.074,959.22,218,1.99982,11030.4,69305.8,34652.9,623.731,674.789,13,0.920191,65.8988,1,81.8661,57.1528,1.23692
07095_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,10886,12.5664,7,72,149,78,584.484,793.097,236,1.99982,10700.4,67232.9,33616.5,454.901,527.422,14,0.915796,72.0537,1,72.9178,54.961,1.13792
07103_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,7169,12.5664,7,39,83,45,620.891,433.768,176,1.99972,7019.68,44105.9,22053,319.813,438.079,12,0.898519,85.3614,1,81.2655,63.3627,1.13003
07105_P041_T01_-_S006_-_TL.R_R0919_OMZ_20230713_RJ_synthetic.ano.eswc.attachment.eswc,6169,12.5664,8,38,82,45,396.089,435.606,186,1.99968,6048.68,38005,19002.5,297.61,355.806,11,0.908815,74.2195,1,73.6971,58.5891,1.11777
07898_P041_T01_(4)_S006_-_TL.R_R0613_WYT_20230731_WYT_synthetic.ano.eswc.attachment.eswc,4862,12.5664,9,49,105,57,295.466,290.562,175,1.99959,4735.12,29751.6,14875.8,180.029,213.48,11,0.924226,45.2952,1,75.0833,58.6962,1.08042
09567_P041_T01_-_S014_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,10107,12.5664,7,71,147,77,470.784,465.804,235,1.9998,9906.61,62245.1,31122.5,326.217,406.583,16,0.934458,67.7483,1,79.2944,49.4172,1.07213
10046_P041_T01_-_S008_-_TL.R_R0613_OMZ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6806,12.5664,9,42,91,50,546.183,458.524,137,1.99971,6649.96,41782.9,20891.5,339.675,398.571,11,0.913149,73.7802,1,81.8465,50.9838,1.13209
10419_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7867,12.5664,7,56,117,62,492.283,434.687,210,1.99975,7720.43,48508.9,24254.4,278.525,329.986,12,0.937855,66.2308,1,79.0178,55.0103,1.07723
10422_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,6732,12.5664,11,36,81,46,558.176,494.078,181,1.9997,6593.5,41428.2,20714.1,383.686,426.944,15,0.932592,82.0988,1,71.7618,51.172,1.15076
10425_P041_T01_-_S015_-_TL.R_R0919_RJ_20230713_YW_01_synthetic.ano.eswc.attachment.eswc,10618,12.5664,8,67,140,74,547.796,498.098,179,1.99981,10470.9,65790.7,32895.3,321.58,384.422,9,0.93619,74.8357,1,74.5656,50.1697,1.14602
10433_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7547,12.5664,7,56,117,62,438.295,489.347,150,1.99973,7377.85,46356.4,23178.2,267.8,328.954,18,0.930493,63.4957,1,62.448,51.8233,1.18811
10435_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,8914,12.5664,7,56,117,62,496.53,434.617,139,1.99978,8724.78,54819.4,27409.7,306.127,353.776,19,0.917755,75.1795,1,62.9956,50.2735,1.2098
10438_P041_T01_-_S015_-_TL_R0616_synthetic.ano.eswc.attachment.eswc,10875,12.5664,5,78,159,82,561.792,467.133,131,1.99982,10677,67085.6,33542.8,320.155,359.51,15,0.935136,67.3899,1,74.725,52.9308,1.193
10439_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,8172,12.5664,10,54,116,63,458.089,472.623,145.961,1.99976,8020.14,50392,25196,305.831,366.117,13,0.937927,69.4397,1,68.5016,50.375,1.15018
10440_P041_T01_-_S015_-_TL.R_R0613_RJ_20230713_YW_synthetic.ano.eswc.attachment.eswc,7033,12.5664,7,51,107,57,388.642,465.267,142,1.99972,6861.31,43110.9,21555.4,284.574,334.626,12,0.91127,64.7196,1,86.9756,67.6391,1.09189
